token_id,category,mu_0,mu_1
128,punct,0.3725588,0.67477334
129,punct,0.32046577,-0.44808143
130,punct,0.4614464,-1.0199138
131,punct,0.25344586,0.00020009106
132,punct,0.38619682,0.00021532839
133,punct,0.38534045,0.028102651
134,punct,0.38611466,0.04070874
135,punct,0.33821297,0.49642894
136,punct,0.34857026,0.6117474
137,punct,0.0624355,-0.11688519
138,punct,0.38344824,0.015715463
139,punct,0.38156885,0.051550537
140,punct,0.38845584,-0.00015115523
141,punct,0.3704715,0.06916569
142,punct,0.32068712,0.017096108
143,punct,-1.2503918,1.3131588
144,punct,-0.014461117,-0.105539985
145,punct,0.3870411,0.008107563
146,punct,0.82454807,-0.6368877
147,punct,0.2881972,-0.0034795858
148,punct,0.03641073,0.16606851
149,punct,0.38714463,-0.17371733
150,punct,0.16964573,-0.1529375
151,punct,0.4399965,0.20627372
152,punct,0.07004397,0.27013478
153,punct,-0.68806076,0.6978
154,punct,0.0064683002,-0.0068812873
155,punct,-0.007912403,-0.004546403
156,punct,0.32754698,-0.43578964
157,punct,0.24540974,1.3007201
158,punct,0.71120495,-0.6820308
159,punct,0.0063991635,0.033666924
160,punct,0.1526601,0.5994158
161,punct,0.1995681,-0.2487259
162,punct,0.3863125,-0.0069935485
163,punct,0.89708436,-0.24313574
164,punct,0.3143575,0.5945109
165,punct,0.38521272,-0.0022296333
166,punct,0.3817524,0.77518696
167,punct,0.38509023,-0.0018681508
168,punct,0.081340015,0.26647317
169,punct,0.36663687,-0.122190736
170,punct,0.018262995,0.0047843284
171,punct,0.38924,-0.20303768
172,punct,0.8695382,-0.8729783
173,punct,0.029657563,-0.0023489418
174,punct,0.013746174,-0.018215064
175,punct,0.009458045,0.04316548
176,punct,0.0020885083,0.0068264096
177,punct,-0.0081702145,-0.043803573
178,punct,0.035070974,-0.006080759
179,punct,0.0099221,0.020847313
180,punct,-0.0012277615,0.018909024
181,punct,-0.02656625,-0.031921513
182,punct,-0.020067837,-0.004072118
183,punct,-0.008678805,0.014863628
184,punct,0.0029521585,-0.012701269
185,punct,0.007991984,0.020285618
186,punct,0.016294448,-0.013974834
187,punct,-0.0037240079,-0.021225357
188,punct,-0.005564479,-0.0008667471
189,punct,0.0011340312,0.004421846
190,punct,0.0026529164,0.0039869263
191,punct,-0.009719394,0.024324453
192,punct,0.010634744,0.012968392
193,punct,-0.008859835,0.019038772
194,punct,-0.008445761,0.007852611
195,punct,-0.0032552402,-0.025190376
196,punct,0.00031973486,-0.012158634
197,content,-0.0042665442,0.024833424
198,content,0.35304084,-0.66318613
199,content,-0.005767155,-0.010867538
200,content,-0.026483424,0.0009813521
201,content,-0.015331606,0.012541013
202,punct,0.025103485,0.0032699397
203,punct,0.012384597,0.015206193
204,punct,0.006039766,-0.008890447
205,punct,0.044553384,0.018237095
206,punct,0.03436561,-0.009031761
207,punct,-0.00420201,-0.02039708
208,punct,0.0061897626,0.020743432
209,punct,-0.01258525,0.028231237
210,punct,-0.025817072,-0.037872892
211,punct,-0.013671531,0.0070571187
212,punct,0.002112408,-0.01498309
213,punct,0.046766944,0.010048471
214,punct,-0.00097440666,-0.0066603073
215,punct,-0.03940033,-0.022817777
216,content,0.0062720426,-0.04183323
217,content,0.0032261678,0.025497964
218,content,0.009982669,-0.025563419
219,content,-0.007986614,-0.029839663
220,content,0.28032064,-0.7907566
221,punct,-0.008034292,0.011986638
222,punct,0.7768452,-0.88154787
223,punct,0.7514726,-0.6118549
224,punct,0.37349945,0.07315337
225,punct,0.35033026,-0.4063224
226,punct,0.19843008,0.8134742
227,punct,0.32492304,0.5152381
228,punct,0.31654474,0.49788436
229,punct,0.31823224,0.51646954
230,punct,0.71730363,-0.7191287
231,punct,0.262499,1.0986139
232,punct,0.29241237,0.44326964
233,punct,1.0593034,-0.30813575
234,punct,0.38724205,0.013024986
235,punct,0.3864491,1.6968306e-05
236,punct,1.1858351,-0.99804103
237,punct,0.23048063,0.5622609
238,punct,0.10079982,0.73706096
239,punct,0.32680255,0.49137303
240,punct,0.14202975,0.2508426
241,punct,1.0684861,-0.27533764
242,punct,0.37773412,0.012486493
243,punct,0.37667635,0.012476089
244,punct,-0.56996953,1.1080542
245,punct,-0.19109936,1.6061158
246,punct,0.56750894,-0.58518845
247,punct,0.31353235,-0.4057812
248,punct,0.3336521,-0.0028181253
249,punct,0.3938639,0.19808878
250,punct,0.30060998,-0.9036853
251,punct,0.3316661,0.52923733
252,punct,0.0626031,0.6437497
253,punct,0.38820428,-0.06647109
254,punct,0.17762277,0.6477311
255,punct,0.10093489,0.80016387
256,content,0.15788783,0.6812753
257,function,0.27108845,-0.70025164
258,content,0.32278323,0.49095306
259,function,0.38725966,-0.0025488168
260,content,0.32718617,0.4851106
261,content,0.32766002,0.44688708
262,function,0.28289127,-0.7131424
263,content,0.33163214,0.4533078
264,content,0.38767898,0.024793359
265,content,0.38436252,0.69922835
266,content,0.3884853,-0.013241976
267,content,0.3491425,0.5195242
268,content,0.3867205,0.0052933567
269,content,0.3881555,0.003187878
270,content,0.47066164,-0.031223994
271,function,0.38752946,0.001759011
272,function,0.3537341,0.65040374
273,function,0.3874311,-0.057291653
274,content,0.3298988,0.4535938
275,content,0.3837286,0.013181798
276,content,0.3870343,0.00767283
277,content,0.38634735,-0.007957281
278,content,0.38779303,-0.023875305
279,content,0.37537125,0.08396898
280,content,0.3773658,0.77467716
281,function,0.26169145,-0.6956425
282,content,0.3292572,0.44800287
283,content,0.38779047,0.0066636563
284,function,0.277358,-0.71888644
285,content,0.34714818,0.42445698
286,function,0.27367148,-0.71376777
287,function,0.27120718,-0.7155498
288,content,0.32983574,0.470253
289,content,0.35459566,0.61689186
290,function,0.24356471,-0.6706678
291,content,0.37282678,0.6597373
292,content,0.32849887,0.4542636
293,content,0.32004055,0.46581993
294,content,0.3881067,0.0024110184
295,content,0.3887998,-0.0014557306
296,content,0.38644853,0.016536241
297,content,0.38638872,0.003559839
298,content,0.33014566,-0.3717934
299,content,0.38346478,-0.19158511
300,content,0.37297356,-0.21115313
301,content,0.38726026,-0.0019739799
302,content,0.38854682,-0.007740498
303,content,0.5777451,-0.59488255
304,content,0.3295807,1.1074317
305,content,0.38644698,0.010773342
306,content,0.38794667,-0.097543
307,content,0.25537777,-0.71398
308,content,0.44795993,0.17655674
309,content,0.30843353,-0.44138816
310,content,0.36717486,0.7513138
311,content,0.38432175,0.034590516
312,content,0.39235258,-0.31373325
313,content,0.38565683,-0.04021458
314,content,0.35578308,0.41474843
315,content,0.3291605,0.45849836
316,content,0.36525965,0.6847364
317,content,0.38798392,-0.019955289
318,function,0.26337492,-0.69334483
319,content,0.26073366,-0.84231836
320,content,0.33322728,0.4509749
321,content,0.45390925,-0.30200067
322,content,0.40024227,0.22446962
323,content,0.31631413,0.48072428
324,content,0.38161463,0.7650911
325,content,0.3691311,-0.24431163
326,content,0.2556419,-0.76049846
327,content,0.38552266,0.0138650425
328,content,0.3253395,0.47135058
329,function,0.26748112,-0.7206145
330,content,0.32501453,0.47278917
331,content,0.27125698,-0.9175706
332,content,0.38932383,0.106909335
333,content,0.3713517,-0.15449908
334,content,0.38564196,0.02052553
335,content,0.38793206,0.028406499
