token_id,category,mu_0,mu_1
239,punct,0.32745317,0.5164364
240,punct,0.07786861,0.22607116
241,punct,1.0908511,-0.27399194
242,punct,0.3896351,-0.026375236
243,punct,0.39033756,0.010541365
244,punct,-0.5924271,1.1118069
245,punct,-0.28357846,1.6412357
246,punct,0.70740324,-0.5835199
247,punct,0.30379507,-0.53181756
248,punct,0.30398503,-0.014847051
249,punct,0.5260271,0.21345621
250,punct,0.3536735,-0.9370016
251,punct,0.3506805,0.544503
252,punct,-0.010395699,0.6662751
253,punct,0.38405296,-0.107789345
254,punct,0.16977322,0.65111107
255,punct,0.09490142,0.80270964
256,content,0.14154586,0.68832463
257,function,0.26142815,-0.7399307
258,content,0.36535355,0.48540083
259,function,0.38563743,-0.0039906004
260,content,0.3415879,0.52009475
261,content,0.32844803,0.46672645
262,function,0.26997548,-0.74625593
263,content,0.32508257,0.47026736
264,content,0.38869938,0.042989463
265,content,0.37880382,0.8294727
266,content,0.38840547,-0.032687534
267,content,0.28140348,0.6004236
268,content,0.38694653,0.0025517065
269,content,0.38674352,-0.014078448
270,content,0.48776847,-0.101093754
271,function,0.3866708,0.0025803375
272,function,0.31629544,0.7304786
273,function,0.3841822,-0.0992338
274,content,0.3119158,0.4806055
275,content,0.38764575,0.013123935
276,content,0.3865753,0.02523231
277,content,0.38557297,-0.022630244
278,content,0.38706794,-0.056944273
279,content,0.3621335,0.09189348
280,content,0.36599803,0.88534874
281,function,0.27856305,-0.8071963
282,content,0.3156971,0.48221558
283,content,0.3859356,0.021405283
284,function,0.26646352,-0.7434856
285,content,0.32742774,0.45326936
286,function,0.2637422,-0.75426704
287,function,0.27309343,-0.76189744
288,content,0.34081998,0.48806936
289,content,0.30924037,0.7046997
290,function,0.3096678,-0.7895261
291,content,0.35472178,0.7566858
292,content,0.29776278,0.49913594
293,content,0.32032588,0.4833376
294,content,0.38340032,0.019014914
295,content,0.38572097,-0.00079703465
296,content,0.38479745,0.031924352
297,content,0.38412845,-0.0020590862
298,content,0.3278912,-0.47782013
299,content,0.35810712,-0.25413683
300,content,0.34322432,-0.24645175
