token_id,category,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,mu_21,mu_22,mu_23,mu_24,mu_25,mu_26,mu_27,mu_28,mu_29,mu_30,mu_31,mu_32,mu_33,mu_34,mu_35,mu_36,mu_37,mu_38,mu_39,mu_40,mu_41,mu_42,mu_43,mu_44,mu_45,mu_46,mu_47,mu_48,mu_49,mu_50,mu_51,mu_52,mu_53,mu_54,mu_55,mu_56,mu_57,mu_58,mu_59
10,punct,-1.4105355,-0.60670155,-1.3158488,0.5929697,1.0023736,0.136457,0.22125761,-1.6572751,1.8188093,-0.7325134,0.5917532,0.44462296,-0.2780434,-0.4057413,0.13549516,1.6457629,0.56849223,0.45520344,-2.1835456,0.04062092,-1.5578557,0.9527149,-0.15175328,0.5443033,-0.78989846,0.9248985,2.5146346,0.7377256,-0.65711516,-1.079507,-0.44478235,1.8927629,0.25024617,1.8478765,0.24259886,-0.30035612,0.48584157,-0.21602462,-0.6041455,0.7764837,-1.0282097,1.0424113,1.0811951,-1.010986,-1.479371,-0.27279618,0.7679684,0.5400201,1.1617507,-0.017436832,-1.1802968,0.70350045,0.30982333,0.15346298,1.4931574,-0.82039046,-0.53337103,-0.4606162,0.059243634,-1.3311607
11,punct,1.1088195,0.3525239,-0.40918323,1.726695,0.82386726,-0.57875276,-0.36979493,0.24155252,-0.52611035,-1.3149765,0.13689157,0.70404977,0.37577143,0.2803864,0.2571791,0.0068081655,-0.3378274,0.64537597,-0.02381531,-0.018837458,0.17695728,-0.07360113,-0.30596972,-0.21902604,0.0023856622,-0.54672176,-0.17559844,0.3072969,0.33624995,-0.22069088,-0.24760413,-0.12374783,0.070597455,0.08503288,0.08427672,0.45607728,0.15350233,0.5043235,0.9343963,-0.7686426,-0.9411739,-0.04351669,-0.027852096,-0.52472377,-0.5291199,0.16479984,0.1851622,-0.086506724,0.95611876,0.269336,-0.28661996,0.2655377,0.007071488,-0.21961947,0.20800553,0.029190255,-0.27487582,-0.50464916,-0.010862408,-0.4433679
12,punct,0.41664243,0.046836972,-0.0075411373,0.882917,0.2967098,0.0360333,-0.023907846,-0.17681636,-0.2431824,0.8290184,0.13651203,0.11560705,0.25456917,-0.064517125,0.012993691,-0.020972945,-0.31671745,0.043181993,0.1336531,0.13651223,0.019596996,0.1117882,0.00035782118,-0.09502365,-0.050408937,-0.010430337,-0.018379182,0.041488767,-0.009075847,0.12141674,-0.0057197353,-0.28779495,-0.05949249,-0.029555038,-0.011903768,-0.019309953,-0.030618267,0.12573932,0.0034033314,-0.030492788,0.024294458,0.059639115,0.26892307,0.07616453,-0.14622991,0.05870272,-0.1806177,0.082703196,-0.14039001,0.17290342,-0.11454089,-0.014050435,-0.021203965,-0.001963056,-0.16801976,-0.020741189,-0.10796925,-0.14812183,-0.10515963,0.039331272
13,punct,0.011274115,0.36189044,0.023845153,0.67167133,0.07155776,0.035771426,-0.07779872,0.16657954,-0.6027414,-0.050219487,-0.034044772,0.37674707,-0.00423197,-0.101143524,0.033437587,-0.003520409,-0.35120654,0.33181903,-0.10000485,0.19322889,-0.24634546,0.25122753,0.19706264,-0.09329706,-0.10765132,-0.1720866,0.005086286,-0.0445274,0.19127727,0.31952646,-0.7679256,-0.09167544,-0.046568718,0.028469479,-0.05034404,-0.039356258,-0.098982476,0.3200294,0.042823028,-0.055965528,-0.11034532,0.010598608,0.18286282,-0.20810077,-0.086563915,-0.029146442,0.062350564,0.20632993,-0.043058295,-0.1785004,0.15355694,-0.10820157,-0.034716282,-0.11928974,0.0043403143,0.14525081,-0.060199194,-0.3109947,-0.07725853,-0.10577012
14,punct,1.3379184,0.8819823,0.54193676,1.0659803,-1.184327,-0.25225395,-0.26987606,-0.3465544,0.29766837,0.6917314,0.40934762,-1.66444,-0.5433435,0.19203979,-2.291444,-0.17163822,-1.8922545,0.23817928,-1.402543,-0.62864196,1.8329273,0.12374706,-0.52222997,-0.25026456,1.2254668,-0.090903334,0.14903866,-0.317703,0.7357669,-0.07911917,-0.19793792,0.7874285,-0.54877007,-0.39596552,-2.1754854,1.3430071,0.6062097,0.32655987,0.109188624,-1.1854416,-1.3585409,-0.9348878,-0.5301512,-0.3424443,1.0070901,-2.253978,-1.0699706,0.038971283,0.36532852,-0.8109482,-0.02510599,-0.6769106,-0.046701323,1.021982,-1.1426096,-0.1364408,0.5994451,-2.0589368,-2.2850914,0.6627744
15,digit,0.030789234,0.061752915,-0.20216295,0.10142226,0.10978587,-0.10843473,0.046848252,0.15531696,-0.27870157,0.3660026,0.18474473,0.24136962,-0.1089058,0.28462163,0.1664494,-0.18366791,0.033933736,-0.19382483,0.16028546,0.2643185,-0.1918654,0.32266027,0.29115373,0.013584212,0.2249681,-0.53204334,-0.026087435,-0.008720093,0.2809835,0.15006033,-0.2604725,-0.10079279,0.047950972,-0.10751773,-0.12467552,-0.051237613,-0.012177517,0.3739589,0.17007105,-0.18081737,0.09129266,0.17697859,-0.1777716,-0.336145,0.10809275,-0.20257217,0.090799354,-0.083573975,-0.09700784,-0.22968262,-0.27579916,-0.19508004,-0.10242818,-0.22271267,-0.08351932,-0.019433033,-0.8228588,0.09731055,0.013664089,-0.041394677
16,digit,0.38927394,0.17119174,-0.055424858,-0.040626023,-0.090214334,0.04686471,-0.06232579,-0.056883764,-0.16757905,0.22432514,0.0943831,0.27832597,-0.058323186,0.22905105,-0.13195796,-0.20306277,-0.2804273,-0.0682574,0.08131561,-0.028293855,0.027295195,0.14472353,0.315142,0.26824862,-0.07205075,-0.23157056,0.28166166,0.66535157,-0.18448055,-0.10851407,-0.1578174,0.13645686,0.15382755,0.049637914,-0.030943744,0.054739125,0.095033325,0.27702996,0.14098765,0.13021432,-0.1882091,0.08874485,-0.19557223,-0.0656093,-0.071599185,-0.30782053,0.061264593,-0.18798026,0.20934679,-0.022316879,0.054094486,-0.0025482695,-0.007985464,0.021111622,0.06430528,0.050526615,-0.61227804,0.0051975455,0.22467743,0.10359068
17,digit,0.075067215,-0.022805117,0.04743319,0.055496637,-0.07566616,0.03475818,0.13647416,-0.070495486,-0.20536263,0.31647474,-0.017740771,0.12239073,-0.05689695,0.3148933,0.03176795,0.14816093,-0.03370942,-0.023639932,-0.091589235,0.2587404,-0.4198026,-0.18640448,0.2519213,0.15760832,0.10042885,-0.20252648,0.10547951,0.31300154,-0.110769354,-0.16050796,-0.18225619,0.017008295,0.117392994,0.049282636,0.02928272,0.062758975,0.0021651627,0.31336474,0.22319631,0.0072595645,0.009078322,-0.22948171,0.033626035,-0.17198853,0.123049825,-0.28746322,0.045860447,0.25723207,0.06718121,-0.26360342,-0.3981037,0.02597969,-0.4750178,-0.10163092,0.07752778,-0.018200971,-0.1099814,-0.091854356,0.24552315,0.13325359
18,digit,0.23698303,0.14681323,-0.15208912,0.13804992,-0.022240225,0.068178475,0.04227155,-0.13642795,-0.13235256,0.117478855,-0.4130029,0.05659703,-0.11253434,0.112522416,-0.22542967,-0.06241421,0.011458788,0.3449411,-0.19860291,0.18793787,0.07548902,-0.03169874,0.3216551,0.22040524,0.04853645,-0.14238368,0.11922995,0.7152952,-0.23981097,-0.095324315,-0.21984456,-0.063669115,0.02210796,-0.001695426,0.12889282,0.12577175,0.013417105,0.12059655,0.14539677,-0.022341749,-0.17372486,-0.11187539,-0.15853123,0.09105189,0.057119068,-0.22651221,-0.013616758,0.2702715,0.013302497,0.1711573,-0.10138654,0.092385486,0.04913364,-0.11379959,-0.11922189,-0.037208878,-0.16409928,-0.0031421885,0.035360616,-0.10680043
19,digit,-0.012397878,0.009365872,-0.0855345,-0.027663546,0.0060636275,-0.019513087,-0.18106046,-0.05813358,-0.20508212,0.16738302,0.07067931,0.36566535,-0.054832883,0.19847237,0.09939774,0.05346512,-0.44426352,0.28041688,-0.06869597,-0.21479265,-0.74317974,0.108807646,0.25891027,0.2485879,-0.07253466,-0.0906689,0.34192228,0.45342678,0.054890234,-0.062211435,-0.09138855,0.03953109,0.10134676,-0.121836856,0.111202344,0.06343503,0.10476098,0.2426907,0.12791318,0.042012334,-0.022068517,-0.31179515,-0.37609446,-0.15151608,0.024167543,-0.20315015,0.069848,0.12016615,0.13249847,-0.18666157,-0.14920083,-0.05418252,0.33810848,0.10444599,0.13787287,-0.13934599,-0.114945844,0.12807173,0.030284658,-0.030412119
20,digit,0.17531356,0.20933302,-0.16173387,0.1799317,0.07426999,-0.10440504,-0.037308093,0.041055374,-0.40518874,0.29967263,-0.06734008,0.056022696,0.060156222,0.31993937,-0.08130714,-0.03533154,0.030716196,-0.15407145,0.023803875,0.21001583,-0.43319476,-0.040310655,0.19844285,-0.028113255,0.0042449078,-0.2146179,0.02283892,0.24450111,0.31749412,-0.17129274,-0.19774693,-0.016205385,-0.11072281,0.023317002,-0.08127878,0.021000894,0.09237089,0.3883201,0.24208353,-0.008897275,-0.23906086,0.025571676,-0.09024071,-0.18236615,-0.120449066,-0.26587397,-0.10331158,0.17570364,0.13992488,0.09473313,0.12655114,-0.0545868,-0.10541217,-0.09092498,0.035249993,0.26366684,-0.09193315,0.2928881,-0.048297383,0.06141152
21,digit,0.16027687,-0.027712837,-0.059052818,0.3437467,0.092735894,-0.053953968,-0.059958726,-0.030628553,-0.3821884,0.2994315,-0.036815204,0.36888057,0.12326127,0.29647693,-0.21593039,-0.14969593,-0.08952463,0.004766708,0.23400488,0.10022696,-0.09202393,-0.08292197,0.19956917,0.38839534,0.29608434,-0.10694798,0.1410802,0.35096222,0.13328928,-0.092978396,-0.25798202,-0.046864223,0.03792832,0.009478901,-0.021507712,0.037040282,0.06527386,0.10693597,0.22355054,-0.06483434,-0.49429592,-0.1637683,-0.14509474,-0.08318869,0.047091905,-0.36754623,-0.08639986,-0.1827576,0.15679406,-0.084294476,-0.044799406,-0.045797657,0.007481406,-0.04155854,-0.016815906,-0.023001768,-0.45019475,-0.19180878,0.10067675,0.02454468
22,digit,0.17173384,0.17880395,-0.14378805,0.32673144,-0.13493997,0.012797089,0.07338312,0.17028113,-0.3529611,0.5254962,-0.15289338,0.12864625,-0.3027693,0.4600035,0.052080818,0.14042161,-0.3500461,-0.07280115,0.03827919,0.25159153,-0.16560465,0.040594265,0.323903,0.11648934,0.053712737,-0.28320095,-0.053730104,0.05535598,0.26903185,-0.13687868,-0.07031117,-0.02686519,-0.14439622,0.059703015,0.08618346,0.12178632,0.123756066,0.65217423,0.27455345,0.08720733,-0.23945436,0.017460411,0.06822197,-0.20954092,0.10222557,-0.16040705,-0.05433134,0.010876534,-0.063668095,-0.16908123,-0.4208535,-0.08885397,-0.12079309,-0.085773125,0.00435032,-0.10747955,-0.20935854,0.005547056,0.048644226,0.12504329
23,digit,0.2549901,0.24256596,-0.09367886,0.38148347,-0.06351039,-0.21728604,0.08267869,0.02963484,-0.38202658,0.28448755,0.14150898,0.51730376,-0.11040318,0.44828627,0.17883332,-0.034913708,-0.017967217,-0.20534909,0.14620842,0.10825044,-0.17226993,-0.10938976,0.24351074,0.15777136,0.23663984,-0.23877044,0.1442933,0.25305033,0.4101717,-0.074906155,-0.15502207,-0.10120123,-0.04060511,-0.09485381,-0.07176329,0.030727593,0.07235167,0.5169161,0.18103363,-0.12280331,-0.18314356,-0.0712448,-0.028503347,-0.19407563,-0.13969527,-0.19948809,-0.059548564,0.19006464,0.057284057,-0.2588921,-0.26817554,-0.12532541,-0.115723334,-0.07314915,0.048519038,-0.09774524,-0.567459,-0.050103564,0.05740879,-0.04444057
24,digit,0.20970932,-0.014790768,-0.03442862,0.0059151654,0.03503982,-0.025486812,0.06202974,-0.06868005,-0.20141114,0.06862613,0.27382195,-0.23925841,-0.10164874,0.30792314,-0.10113297,0.06667676,-0.17299113,0.09389218,0.0007455113,0.51900405,-0.0662237,0.0405551,0.21686609,0.19657263,0.0708646,-0.2457604,-0.020065496,0.35272527,0.33801877,-0.0681386,-0.19729514,-0.10191027,0.0651738,0.01039471,-0.026033511,0.043645483,0.052043725,0.414093,0.29135373,0.022665234,-0.75940704,-0.3150493,-0.101983674,-0.17694306,-0.028167572,-0.2904585,0.03364027,-0.077376,0.20033702,0.09701183,-0.12157088,-0.07979291,0.02611286,-0.12377497,0.080413975,0.13632427,-0.15949166,-0.011239917,-0.024972593,0.08225464
25,punct,-1.1306015,0.75859785,-0.34728733,0.13805912,0.61153316,-0.62665087,-1.1228949,0.7422876,1.6046293,1.2598195,1.1740059,-0.29153785,1.2134173,1.127754,-0.1643157,1.3628583,-0.13960326,-0.5752051,-0.90419596,0.41627234,-0.5181504,0.014432808,-0.3011409,1.3896866,-1.542264,0.0024609282,-1.245015,-0.10391272,0.8658045,0.13117042,-1.9553801,-0.1872666,0.7101444,0.6958785,0.9121338,-0.8024783,1.0052805,2.2127926,-1.0516036,0.28504953,0.69340813,-0.3528165,0.9409316,-0.7125403,2.2972708,0.050785415,-0.32039317,0.7594935,0.77512246,0.011105951,-0.11339519,-1.5590568,0.73645735,-1.8450221,-1.2980262,-0.049533676,-1.9105527,-0.65097576,-0.9015406,-0.18936785
26,punct,-1.2174001,0.5359489,0.73474026,0.85709804,-0.17478721,1.0683174,-0.43744165,1.1071126,-0.30293104,0.045643065,-0.24512763,-1.2673887,1.0804839,-0.36050475,-0.056906343,-0.28930488,0.25494015,-1.3727357,0.74064726,0.17303263,0.3029577,2.204765,-0.559452,0.13415965,-0.47007424,-0.48172402,1.2480115,1.1334124,-0.20659897,-0.6449013,2.0487292,0.68142056,0.38119325,-0.021766763,-0.86378294,-0.5319235,1.1956292,-0.47553876,-0.3352707,0.4560885,-0.6622526,0.95514303,0.5565808,2.0627337,0.041792035,-0.2211813,-1.5386893,0.33103117,-2.1520422,-0.913992,-0.5849555,0.15824248,-0.7899125,0.49097955,-1.212333,-1.4180698,-1.3225313,1.0273851,2.1461432,-0.03955095
27,punct,-0.77754885,-0.54052764,0.7672334,-0.4773792,-1.0245074,-0.5155924,-1.0663376,0.87431586,-1.0957091,-0.14244483,-0.3975165,2.1890426,-1.9671975,-0.1544708,0.23309927,0.02894149,-1.0758945,0.08428194,-0.94087106,0.47264454,1.6331373,-0.4154098,-0.243539,0.5013985,0.09024501,0.7477641,-1.1113479,-0.017152129,-0.38571465,0.7773566,1.4085847,-1.146489,-0.15812014,-1.6644666,-0.58983517,1.0100906,0.2650646,0.9573816,1.577647,-0.3595249,-1.5831331,0.004238509,-0.14180753,-0.33981434,-0.6954332,0.41836825,-0.49565473,1.4429553,-0.9109532,0.102825694,-1.2482997,0.61914724,0.10872448,-1.4995073,0.2960193,-0.98621184,-0.26556948,0.111447334,0.97413087,-0.12687764
28,punct,1.0128999,1.8489094,0.29191732,-0.30294484,-1.2886536,1.3888811,0.18019481,-0.4980486,0.5926543,-0.8097826,0.38162935,0.11452839,0.03025066,-1.0508479,0.32751203,-1.1158019,-0.8589879,0.22519708,0.28584686,0.22082865,0.755891,-0.4094556,-1.249619,0.9132383,-0.65055144,-0.024931308,-0.7352282,2.237225,-0.15869705,1.2866491,0.08757527,-0.7673139,-1.1228344,-0.26854965,-2.0509155,-1.3562468,-0.13445532,0.8574122,0.3376688,-1.26231,0.9940734,-0.38705823,0.8667306,2.324409,0.961162,-1.1146055,0.13524237,-1.792053,-0.5020721,0.74116784,1.0544935,-0.8026221,3.2148936,1.403061,-0.3062157,-1.5632676,0.22999702,1.1315428,-0.13060018,-1.6502148
29,punct,-0.15912247,0.08728239,-0.03465616,-0.24856462,-0.33331844,-0.14572862,0.15372515,-0.12477842,0.06272526,-0.1291773,0.011506334,0.15252708,-0.101994865,0.02975789,-0.06660042,0.13308856,-0.0431353,0.31867918,-0.0042748884,0.041931685,0.23965111,0.07361185,0.07067006,-0.0034410295,-0.09697984,-0.18646517,-0.045229223,-0.08641978,-1.3298124,0.008657751,-0.012880951,-0.030621134,0.09989103,0.008706887,0.070881784,0.14984223,0.01224317,0.11879125,0.09490563,0.041710544,0.5435371,-0.004210847,-0.29508772,0.021568289,0.14068961,-0.23124537,-0.106205344,0.04009455,-0.022601314,0.48154792,-0.084478796,0.069073744,0.017230129,-0.006004144,0.02724115,-0.041070975,0.034350347,-0.112852454,0.15220329,0.26505437
30,punct,0.9659187,-0.41397795,1.4229665,0.92666125,0.7393782,-0.0845075,-0.49296355,1.2256835,0.082643,-1.4839046,-0.9140878,1.3259373,-0.023637682,-0.23444587,-1.1847507,0.17169642,-1.253782,0.20159362,-0.16082741,1.0840828,-1.6090988,0.90777844,-0.2741318,-0.7302021,-0.6918447,-1.070094,0.090163976,0.8230301,-0.08825591,-0.045525417,-1.3415312,1.4831276,1.3775688,-1.294424,-0.52623653,0.13071053,-1.4298767,1.4921224,0.73432386,-2.1090102,-0.64128613,1.0730889,-0.3378951,-2.402822,1.7191322,1.0327077,-0.28882948,1.6603675,-1.930548,0.2711138,-0.0094415145,0.18356644,-0.25358638,0.22060713,-1.2164273,-0.49657062,-0.6391225,0.9722204,-0.71374357,-1.1022259
31,punct,-0.012491116,0.90081966,0.30250922,-0.90855724,1.1529422,-0.25048617,0.7242865,-1.765274,1.9485062,-1.085852,-1.274941,-1.3124877,-1.5141265,-1.0084562,1.7838632,-1.0975257,1.3858153,0.28356516,0.54755455,1.2411369,-0.8462828,0.9421643,-1.6156981,-0.52889746,-1.4695516,-0.012481124,-2.194792,-1.1566485,1.647102,0.15601805,0.69076395,0.7996977,0.2226781,0.28730783,-1.4876146,-0.94131696,0.024348278,0.14365707,-0.72841406,1.9636889,0.63124925,0.8487266,0.7605877,-2.1296058,-0.33597645,0.05273503,0.8068518,-0.11601869,1.3424307,-2.6825647,-0.6136788,0.44094703,-0.5020391,-1.2479404,-0.16236015,0.7346181,-0.721919,-0.29425773,0.49380934,-0.4198153
32,letter,0.36596233,-0.094291024,0.0072204215,-0.049776573,0.10746713,0.057275474,0.16298214,-0.019436806,-0.28782758,-0.069369316,0.018173834,0.23896912,-0.14982544,0.07784909,-0.12628534,0.35303456,0.09839833,0.028025158,-0.36181006,-0.11911605,0.0471274,0.1817317,0.19088504,-0.03603618,-0.35296544,-0.266039,0.15252136,0.0014026293,0.051822424,-0.11046948,-0.13287093,-0.16322197,0.02491018,-0.026885256,0.018941162,0.05594567,-0.043697618,0.1261032,0.062241606,-0.10092196,-0.40077096,-0.036813147,-0.17660241,0.10359483,0.030446332,0.035904706,0.10008002,0.08703162,0.22372973,-0.21699202,-0.017680032,0.046276994,0.041927565,-0.12664145,-0.11423634,0.063151054,-0.09184601,0.3067515,0.061433777,-0.035618853
33,letter,0.28832334,0.31394204,0.1002235,0.32555228,0.09325249,-0.12457443,-0.4170843,-0.37635666,-0.2821755,-0.06387701,-0.03200671,0.27828196,-0.20615274,-0.0065466976,0.4058259,-0.0029583771,-0.1362601,-0.13015673,-0.45236742,0.0446593,0.006418706,0.3498883,0.31241465,-0.07973472,-0.036375735,-0.4703427,0.47531483,0.11273519,0.10446201,-0.05065571,-0.037207555,0.09573294,0.069502264,0.06926969,0.111238964,0.042728536,0.09590614,0.13849798,0.039879423,0.011829549,-0.17103931,0.43164527,0.23574004,0.33352864,-0.41768864,-0.20569177,-0.40146688,-0.24185914,0.24362765,-0.037498623,-0.02612143,-0.00062488735,-0.18577325,-0.15479763,-0.08004842,-0.007256778,-0.106852986,0.4635304,0.0014013891,0.06549057
