token_id,category,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35,phi_36,phi_37,phi_38,phi_39,phi_40,phi_41,phi_42,phi_43,phi_44,phi_45,phi_46,phi_47,phi_48,phi_49,phi_50,phi_51,phi_52,phi_53,phi_54,phi_55,phi_56,phi_57,phi_58,phi_59,phi_60,phi_61,phi_62,phi_63,phi_64,phi_65,phi_66,phi_67,phi_68,phi_69,phi_70,phi_71,phi_72,phi_73,phi_74,phi_75,phi_76,phi_77,phi_78,phi_79,phi_80,phi_81,phi_82,phi_83,phi_84,phi_85,phi_86,phi_87,phi_88,phi_89,phi_90,phi_91,phi_92,phi_93,phi_94,phi_95
10,punct,-0.018675888,-0.0061288932,0.004877473,0.02403212,-0.014224085,0.0004626783,-0.021097753,-0.018041799,0.010170623,-0.030476408,0.022964077,0.01572848,0.012925159,0.013221809,0.024892196,-0.0025524953,0.010277293,0.011957225,0.025489613,-0.0307805,-0.015569187,-0.039243888,-0.012846925,0.02274492,-0.027878849,-0.012617435,-0.027504236,0.024183758,-0.01148989,0.032644738,0.0035621678,0.007725598,-0.011329196,0.04661929,-0.021951739,0.0073211645,-0.035570458,-0.011856435,-0.015541958,0.015747484,0.021757672,0.0017668311,-0.022507884,0.010917643,-0.024537293,-0.00021237256,-0.00077511667,-0.006723871,0.04739728,-0.0011401833,0.020465203,-0.0143393595,0.00995336,0.032462597,0.009601355,-0.002540208,0.002959314,-0.0006589823,-0.025955133,-0.02959771,-0.020144658,-0.0504702,-0.003400959,0.010213933,0.032284584,-0.010175432,-0.0004029431,-0.005690669,-0.04017514,0.034499098,-0.006396092,0.0062732296,0.025321892,0.0026734753,0.022662014,-0.0014602533,0.035515536,-0.0023356013,-0.024286136,0.026749108,0.001706116,0.018262308,-0.014615791,0.03706137,-0.021111293,-0.008440833,-0.026065046,-0.019170774,-0.00592721,-0.037295766,0.0134927435,-0.0056002634,0.0041837953,0.016518202,0.008943006,0.007239844
11,punct,-0.03661077,0.020964181,0.04928922,-0.051874112,0.08669742,-0.67134917,0.18790117,-0.019477235,-0.034087308,-0.08629823,-0.47769687,-0.020057676,0.008546307,-0.21279424,-0.022619076,0.1445771,0.083532244,-0.20053934,0.3299814,0.066044144,0.09797506,-0.6889296,-0.84667844,0.024029525,-0.16442591,0.9348295,-0.40737545,-0.13355264,-0.10108612,-0.0031456118,0.26441225,0.40394336,0.044684693,-0.086509995,0.021523641,0.080057465,0.225316,0.7657638,-0.10089677,-0.4747298,0.006747002,0.042837527,0.2694324,0.0750408,-0.042186197,0.009908492,-0.032322843,-0.36320135,-0.37688515,-0.12101735,-0.063438945,0.23614022,-0.10596,-1.0831376,0.010032046,-0.05665272,0.068219796,0.031674143,0.24266566,-0.057682555,-0.47734553,0.37774098,0.09655247,0.16862807,0.041475397,1.1250699,0.12552969,-1.8118758,-0.74665743,0.12582837,-0.25189614,1.5123001,0.0661428,0.002932197,-0.9157202,-0.022023765,1.6268157,-2.3009636,0.029280256,-0.09434685,-0.17509468,-0.25514382,-0.12854803,-0.12676874,0.113222115,-0.39722395,0.18521705,0.016007839,0.109911054,-0.07433728,-0.10760033,-0.041866776,0.024186444,0.047929335,0.02163359,-0.81073296
12,punct,0.25818372,-0.19547448,0.06929758,0.3320492,0.14732647,-0.29558367,0.0075329333,-0.088375725,-0.035291616,0.19868073,0.16389713,-0.24337599,-0.31151643,-0.10830934,0.16034363,0.16241056,0.13184436,-0.026719611,0.25001284,-0.055953797,0.004832868,-0.04542077,-0.051271524,0.092018396,-0.166967,0.07624857,-0.19477926,-0.12350878,0.054952588,-0.13353927,0.048424136,0.2122544,-0.13066903,-0.3469534,0.0047977525,0.27892125,0.18431267,-0.6984155,-0.08158155,0.12645511,-0.012016986,0.15161842,0.012967217,-0.14086357,-0.20785174,-0.5179841,0.09543543,-0.23750919,-0.08080896,0.31783643,-0.20791428,0.08072949,-0.23567662,-0.87163323,0.10366547,-0.64396906,0.2124604,-0.25172934,-0.21956678,-0.2887325,-0.18877906,1.1684737,0.22025837,-0.6984172,0.18736918,0.10421908,-0.14966418,0.120005526,-0.101343505,0.14610612,-0.015945107,0.34312296,0.1132263,0.038223285,-0.43573353,0.022772701,-0.10412252,-0.1881107,-0.1812431,-0.36681598,0.07916292,0.21611519,-0.1834979,-0.007311987,-0.17548707,-0.12256904,0.04670502,0.2908122,0.13628247,0.1877706,-0.049335293,0.23629192,0.045215297,-0.737085,-0.4437245,0.47138882
13,punct,0.048554078,0.27959374,-0.035549294,0.042621575,-0.10388873,-0.07296011,0.020948369,-0.26700142,0.07499966,0.11745684,-0.26836368,0.10804254,-0.13340256,0.32071927,-0.25705186,0.5473501,-0.1522736,0.05779773,-0.31136507,0.18445525,-0.0452311,-0.21326391,-0.32271877,-0.06779806,0.23400675,0.3468266,-0.05928608,-0.11526549,-0.13214369,0.08180303,0.061387647,-0.19786048,-0.3862521,0.22446807,0.03478163,-0.20066285,-0.23511878,0.17735755,-0.092373125,-0.09014983,-0.07626744,0.008537715,-0.25919238,0.1546303,0.13063607,-0.1471421,-0.12785886,-0.1700407,-0.33494595,-0.5481573,-0.2715957,0.4861317,0.4335233,-0.18732755,-0.032489136,-0.26873693,0.44045153,0.03745971,0.24956246,0.48877236,-0.5005206,0.2609509,-0.17703241,-0.5543999,0.30345246,-0.25678113,-0.20682879,0.21560499,0.24122936,0.24981752,-0.09687597,0.7014071,0.18987076,0.16369389,0.07516466,-0.24104354,-0.066873446,-0.16464704,-0.028106315,-1.02512,0.39927083,-0.31648922,0.1210655,-0.008304701,0.13147517,-0.03581312,0.14272527,0.553344,-0.21703707,-0.12904571,0.6962905,0.15992865,-0.014315527,-0.48687783,-0.08253279,-0.32145151
14,punct,0.024376674,-0.0016407692,-0.022048546,0.007084423,-0.031858195,-0.03306338,-0.0077098124,-0.012035874,0.022184571,0.0075404355,0.014394703,0.008567194,-0.011626636,-0.014722591,-0.011638691,0.0008883431,-0.0062274807,-0.0341754,0.007301891,-0.0065683667,-0.01382962,-0.035760146,-0.026118273,0.0006403259,-0.03922807,0.030626155,0.016514389,-0.0077003,-0.023806913,-0.02173993,0.0039321254,0.02607167,0.0014980324,0.014492088,-0.011551074,0.04937877,-0.025378684,0.007593984,-0.018412892,-0.0014322299,-0.005447682,0.0105790915,0.0018829076,-0.022654671,-0.020779263,-0.0032615575,-0.009162108,0.018111674,0.015845226,0.020378115,0.002959626,0.023064941,0.019700063,-0.014537761,-0.00032655615,-0.02042589,0.0032667085,0.007559465,0.02428767,0.0137069905,-0.02130642,-0.009297166,0.004929292,0.019560719,0.005806609,-0.002508548,-0.013770289,0.010557292,-0.043311875,0.03517802,0.0067514507,-0.019971227,-0.016272426,-0.008665901,-0.041143704,0.006757637,-0.010331563,0.006653367,0.00864798,0.006360022,-0.042758603,-0.0047078263,0.0001078337,-0.024024077,0.006876529,-0.0026246484,-0.008026157,0.017034644,-0.013442453,0.0390188,0.00971142,-0.026331045,0.032260355,0.0010085434,-0.009789482,0.023800071
15,digit,0.4857769,-0.082770675,0.57854414,-0.12755851,0.10410728,-0.5580175,0.009276753,-0.12050238,-0.42046994,0.048273444,0.28012568,0.20546626,0.068768956,-0.051871754,-0.21646598,0.08395331,0.5304691,0.3670696,0.095495775,-0.28458905,-0.253253,0.13169986,0.18846092,-0.3859682,-0.01539324,-0.026370224,-0.35018954,-0.070698604,0.19335061,0.33304992,0.098465964,-0.03236728,0.1271366,0.09663507,-0.055032108,0.10556978,-0.036010608,-0.04346489,0.0004799809,-0.20599064,0.040171254,-0.15638494,0.33447203,0.5160291,-0.10321578,-0.083276056,-0.31277123,0.009178758,-0.11123341,0.33434618,0.10229004,-0.25849652,-0.34890056,-0.50157195,0.31816623,-0.08158145,-0.10976179,-0.23954462,-0.51230663,-0.17951858,0.34484345,0.08453203,0.36332446,0.19799419,0.44739872,0.30714783,-0.17670164,0.10658069,-0.1689315,-0.20286867,0.36280105,0.33570623,0.15963267,-0.45639062,0.04935383,0.0018712658,-0.059504516,-0.34389526,-0.10475856,-0.3161442,0.48453325,-0.2964662,0.055706657,0.211908,0.12429312,0.12458656,-0.17124099,0.08798386,-0.06265388,0.43526196,0.26165,0.11223807,-0.17419304,-0.08239115,-0.21881492,0.44709665
16,digit,0.2662654,0.012983797,0.20042421,-0.038462557,0.08244994,-0.54729486,0.13283758,-0.139041,-0.17956084,-0.2062975,0.17542669,0.03924162,-0.0072965547,0.105064504,-0.0425499,0.20186621,0.6873363,0.14543006,0.10319722,-0.28056622,-0.119194865,0.37213203,0.1898404,-0.23977076,-0.057877194,-0.036035,-0.17142238,-0.1204308,0.1712932,0.17733684,0.0899743,0.11539726,0.5204565,-0.11392755,-0.027202273,0.08356213,0.09700519,0.043159366,-0.06624185,-0.2011819,0.06551646,0.06175913,0.6790148,0.36356777,-0.073569365,-0.08724655,-0.1479754,0.04064239,-0.17521605,0.14662108,0.040092118,-0.06581745,-0.28989917,-0.31278917,0.19182436,-0.057357065,0.016561037,-0.057625663,-0.33643064,-0.2685415,0.08780368,0.12132332,0.3946045,0.06839462,0.4861452,0.330728,-0.10174213,0.030838067,-0.12190344,-0.13454288,0.21493158,0.2542641,0.1105771,-0.20995933,-0.09728694,-0.018550176,-0.033789597,-0.24096628,-0.11285498,-0.23043789,0.5834805,-0.27047768,0.020494165,0.07886629,0.07689781,0.12907235,-0.17371327,0.011247868,0.008922098,0.38600945,0.095820546,0.083460726,-0.06758352,-0.011607534,-0.015476842,0.22948354
17,digit,0.35583606,0.013338526,0.29785922,-0.08624098,0.07289745,-0.6080846,0.14926906,-0.12077651,-0.17871891,-0.12831913,-0.18071494,0.010430725,0.058726564,0.12041109,-0.06269337,0.28994516,0.6893799,-0.16431785,0.09609104,-0.3950162,0.11087784,0.4170508,0.137875,-0.09763931,-0.051043905,0.01454538,-0.16561694,-0.11440339,0.26959005,0.10630107,0.06549603,0.20101102,0.117106125,-0.27191135,-0.06918852,-0.09519225,0.25130177,0.013192716,-0.06543955,-0.25193724,0.06533345,0.10341052,0.6472136,0.28364202,0.10110956,0.019952293,-0.16291457,0.06911993,0.0618762,0.13641647,0.0009189422,0.06428643,-0.25068682,-0.25387526,0.29768208,0.06995467,0.014333521,-0.29630998,-0.21627745,-0.22632371,-0.07249772,-0.0635496,0.27170277,-0.013572607,0.2285575,0.13424142,0.095768504,0.087465085,-0.11401777,-0.3106017,0.13868032,0.2717387,0.040774852,-0.099435315,-0.13762487,-0.14727463,-0.1272517,-0.2984303,-0.040520195,-0.23915556,0.41105318,-0.2659361,0.077541254,-0.06713351,0.12597556,0.12788667,-0.10046437,0.001060597,-0.044631932,0.24479236,0.19627243,0.3721189,0.008689584,0.074988924,-0.24138203,0.02963341
18,digit,0.07581382,0.08826119,0.2564663,0.012887947,0.072501525,-0.6709172,0.16022122,-0.14852494,-0.22405173,-0.25376812,-0.04973865,0.06230129,-0.045141235,0.19900179,-0.12722036,0.37166637,0.6883514,-0.028557243,0.13060881,-0.3023666,-0.03276467,0.34420255,0.18794547,-0.24543975,-0.040934928,-5.4243636e-05,-0.18381545,-0.1250544,0.20670357,0.24708676,0.041940577,0.21822952,0.6605307,-0.21194027,0.007912112,-0.06213098,0.13883257,0.05948797,-0.076340266,-0.2105047,0.026192289,0.04068269,0.5518846,0.42155182,0.017332112,-0.060732074,-0.2174951,0.0072535784,0.027191598,0.08158868,0.08745323,0.06487519,-0.24834816,-0.30569527,0.20793101,0.0061010276,0.046893064,-0.12294819,-0.30370358,-0.274603,-0.095324904,0.005941619,0.4492827,0.12903106,0.38473037,0.3182987,-0.02815413,0.06877226,-0.18076248,-0.22250181,0.037833292,0.28269225,0.027175728,-0.04690598,-0.19475813,-0.008798443,-0.08646053,-0.2742986,-0.06230981,-0.20013013,0.4263458,-0.2551307,0.06669226,0.034650117,0.11919242,0.13587715,-0.21942769,0.023750858,-0.039159086,0.3673636,-0.005645962,0.122630954,-0.03151458,0.03330528,-0.07848912,0.14240363
19,digit,0.08723351,-0.018205954,0.12050746,-0.02539922,0.07874434,-0.76669985,0.1401829,-0.12094293,-0.1292862,-0.24837062,-0.00930732,0.046192084,-0.0079512,0.036852524,-0.02042233,0.3163512,0.68374974,0.18347007,0.07542567,-0.24074104,-0.16247316,0.29338455,0.2132949,-0.23632185,-0.030370116,-0.055008348,-0.18561426,-0.17259261,0.1551748,0.18320256,0.1333663,0.046209723,0.67402655,-0.16699849,-0.036002208,-0.09476852,0.13669144,0.026467284,-0.08619782,-0.23684557,0.018756693,0.019243037,0.5968153,0.5000682,0.0067453003,-0.012097322,-0.23946086,0.019274093,0.021165138,0.10320921,0.13617353,-0.106777295,-0.24910688,-0.26240474,0.23554493,-0.06563769,0.005005939,-0.09521463,-0.510232,-0.23439677,0.07665472,0.09202509,0.4161245,0.08963378,0.27790114,0.16676001,-0.047799185,0.15350595,-0.08852073,0.028350698,0.06354157,0.30355626,0.08949467,-0.038131528,-0.18123703,0.06730922,-0.13005933,-0.21080028,-0.1749587,-0.21239227,0.2373013,-0.21424085,-0.028244035,0.068605974,0.121218726,0.13270514,-0.28696588,-0.004650329,0.040142655,0.44349283,0.06648925,0.12369164,-0.078523204,-0.0039844145,-0.093231305,0.35063475
