token_id,category,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,mu_21,mu_22,mu_23
26,punct,-0.005440817,0.006988679,0.050984733,0.017628713,0.008796913,-0.0063736048,-0.0070028948,0.018970331,0.003430373,0.032067154,-0.030455565,-0.0031651817,-0.009165369,-0.007102941,0.008769831,0.018401766,-0.027441617,-0.019425754,-0.037028454,0.01768924,0.023217937,-0.03571025,0.0077001643,0.0022593597
27,punct,-0.011783617,-0.0054191924,-0.019281212,-0.038523138,-0.00013563046,-0.004194574,-0.016074048,0.011078368,0.006628105,0.011973498,0.008772832,0.009657249,0.015708331,0.027941229,0.033626676,0.00080329855,0.0005933836,0.009288907,0.0010515656,-0.0044430383,0.023357615,0.02671104,0.027677769,-0.011995402
28,punct,0.007838346,-0.027124427,0.0085892165,-0.007991946,0.004452536,-0.0011633133,-0.02144407,-0.0024012688,0.008708329,-0.029300405,-0.0037433149,0.0058377027,0.008194521,0.0028450978,0.02255451,-0.02913802,0.01606981,-0.018894693,0.019556807,-0.0020365564,0.03675804,-0.00292957,0.0015072814,-0.010118005
29,punct,0.9684749,-0.80479336,-0.63201827,-0.3413146,-0.17079559,0.45868936,-0.028730711,-0.40011057,0.38722292,0.13774456,-0.0812562,-0.097091414,-0.010119411,-0.16247417,0.64349455,0.87792474,0.41267744,0.3627246,0.6044668,0.4180017,0.34291345,-0.29970577,-0.2823086,0.16211031
30,punct,0.008114959,-0.006431622,0.013372329,0.008391275,0.01923635,0.0062248795,0.011081444,0.0064566545,0.0109897675,0.0013217157,0.045414764,0.019327989,-0.03017748,-0.0029603257,0.02069442,0.024231248,0.007854568,-0.0076040505,-0.019332012,-0.013500572,0.009063811,0.0073837684,0.0148750935,0.045935158
31,punct,0.0050074626,-0.013331948,0.033575445,0.009022641,0.00971252,-0.009804501,-0.034823496,0.010620843,-0.0010826016,0.02603227,-0.028385157,0.009836122,0.015582581,-0.013650204,-0.02093048,-0.026418911,0.01108378,-0.036003403,-0.02120296,-0.010173791,0.00012886876,-0.03705401,0.018549476,0.00022021371
32,letter,-0.07275374,0.12744555,0.36526027,-0.30064338,-0.3001357,-0.09859998,-0.2846646,0.13721597,-0.032481473,0.69329363,-0.24977629,-0.4474137,0.107881695,-0.37007108,0.31124818,0.5793177,0.4593047,-0.14383689,0.7350511,-0.16734746,0.78819114,-0.3857098,0.37369603,0.10779574
33,letter,-0.116224885,-0.13288203,0.1789119,0.048540015,-0.011033975,0.045335624,-0.3307189,-0.1178065,0.16848996,0.8261664,0.19896567,-0.16749878,-0.032689936,0.022889543,0.93828106,0.060814828,-0.039959576,-0.22435531,0.72764623,0.111989066,-0.02576841,0.17328179,0.06459396,0.097074196
34,letter,0.09490885,-0.22739589,0.40364268,0.0810269,-0.38207832,0.09788308,-0.40175915,0.6452613,-0.04407784,0.79552555,-0.35126048,-0.17543757,0.27083147,-0.27706888,0.39885372,0.3080224,0.49759024,-0.16875644,0.7386046,-0.37879816,0.5596047,-0.14240013,0.22851622,-0.18291993
35,letter,0.15054154,0.091534086,-0.42181098,-0.1615589,0.011009105,0.31235653,-0.39848575,0.4449059,-0.08854911,0.64870733,0.010093393,-0.35608926,0.54531044,-0.28517857,0.77890587,0.09113815,0.15185128,0.009559881,0.36614606,0.07028849,0.14478037,-0.12517223,0.113360114,0.061001774
36,letter,-0.15328963,-0.028427565,0.2644449,0.14749832,-0.1970269,0.2912016,-0.16450585,0.23492967,-0.016548436,0.4074036,-0.04689423,-0.11904656,0.16079631,0.11350803,0.5189564,0.34237477,-0.113395795,-0.3118904,0.5315114,-0.5157089,0.8664308,-0.5680965,0.33648634,0.06265229
37,letter,-0.27630138,-0.06392001,0.3438448,0.7475975,-0.44796452,-0.042833608,-0.33300605,-0.2252757,0.4427888,0.8855319,0.15987346,-0.21843392,0.087956786,-0.4437679,0.6709563,-0.18764867,0.69274026,-0.39675266,0.83220196,-0.0936264,0.4591417,-0.031645276,-0.07797182,0.31203926
38,letter,0.2380672,-0.2325306,0.45631868,0.15732585,-0.08031893,0.22589172,-0.31778708,-0.2343675,0.25688604,0.57490087,-0.012779854,0.1722289,0.29192743,0.29253212,0.6104199,0.36257535,-0.10157986,-0.6803534,1.2821714,-0.3319709,-0.0014619167,-0.40369743,0.13077964,-0.059991077
39,letter,-0.0382176,0.115069084,0.118766844,0.26361984,0.2515292,-0.014324719,-0.8948127,0.0015069878,0.6000618,0.25262907,0.1758977,-0.3850909,0.24624223,-0.2836133,0.78904974,0.4671642,0.10863188,-0.25108555,0.16339886,0.20013332,0.3730536,-0.13324317,0.095589325,-0.12361085
40,letter,-0.28243682,-0.013413118,-0.39604396,0.06516453,0.04640274,-0.10063156,-0.041662257,0.832282,0.11354714,0.7742612,0.113881424,-0.34081635,0.19665854,-0.6429014,0.20932707,0.29583007,0.512669,0.076806836,0.43309727,0.08227568,0.7851989,-0.2727411,-0.20889242,-0.2945753
41,letter,0.008042326,0.0765968,0.4488029,-0.021204377,-0.017145215,-0.2551429,-0.49435315,0.53669345,0.4545312,0.6048181,-0.0051293634,-0.5325712,0.19906978,-0.28014743,0.6311355,0.33353746,0.3426221,-0.10493458,0.29858834,0.023092814,0.46470433,0.08786361,-0.6700363,0.21804278
42,letter,0.030971244,-0.22903953,0.45197704,0.1693534,-0.30339408,-0.050127607,-0.020642402,0.14379466,0.46956888,0.53314704,-0.025484774,0.08284871,0.6860112,-0.04371159,0.26489383,0.26176378,0.09795148,-0.33190027,0.908993,-0.22394826,-0.23326664,-0.21949925,0.14215496,-0.0937871
