token_id,category,mu_0,mu_1,mu_2,mu_3,mu_4
120,punct,0.2049917,-0.13674963,0.011414634,-1.3019652,0.21412985
121,punct,0.32862994,-0.59093344,-0.044548042,-0.8235927,0.1894764
122,punct,0.12762159,-0.5671876,0.59746623,-0.88319886,0.059724152
123,punct,0.3562268,-0.17805529,-0.051669013,-1.0678134,0.005443476
124,punct,0.023132037,-0.011940651,-0.0048121554,-0.0110685155,0.012158024
125,punct,-0.026709173,0.0071016,-0.005003191,0.025843535,-0.0058524706
126,punct,-0.20880197,-0.23337102,0.52219623,-0.970201,0.040046792
127,punct,0.5800011,0.1521343,0.07080421,-0.9674495,-0.08335702
128,punct,0.6425126,0.38467076,0.12127835,-0.9486898,-0.12562053
129,punct,0.5884342,0.23601806,0.17964055,-0.98604244,-0.10761935
130,punct,0.4646569,0.19445649,-0.06835694,-1.1065037,-0.004796211
131,punct,0.6312152,0.38072607,0.19840643,-1.024509,-0.19651599
132,punct,-1.1055934,1.00046,0.9019539,-0.65767825,-0.11297161
133,punct,0.57081115,0.45544276,0.2749941,-0.86620027,-0.26779926
134,punct,0.5348483,0.2263714,0.16394514,-1.1123294,-0.021727184
135,punct,0.4535237,0.33002895,0.13702998,-1.0935107,-0.1004652
136,punct,0.6475591,0.32083884,0.1288193,-0.9634955,-0.22387865
137,punct,-1.1448799,0.64205325,0.58042157,-1.225545,0.14007738
138,punct,0.40801346,0.2109171,0.12491,-1.0996349,-0.07170129
139,punct,0.63081753,0.20837972,-0.025312409,-0.92866725,-0.10684167
140,punct,0.48787332,0.26889938,0.13962048,-1.0433406,-0.09343409
141,punct,0.28397632,0.36326483,0.3652109,-1.338332,0.17074975
142,punct,0.942382,-0.6219429,1.1892503,-1.4777904,-0.12380744
143,punct,1.1333629,1.4718368,-1.2760978,0.61464286,-1.5177853
144,punct,0.5232623,0.34393686,0.27409282,-1.4698967,0.07396848
145,punct,0.56745154,0.35880104,0.14058547,-1.1978343,-0.1455712
146,punct,0.6646702,-0.039733794,0.023432067,-0.93310994,0.072439454
147,punct,-1.3405101,0.8317015,1.0044014,-1.1453071,-0.0661928
148,punct,0.35879472,0.2776373,0.21638158,-1.2910712,-0.05692619
149,punct,0.6111278,0.22513379,-0.05183433,-1.1063855,-0.09095438
150,punct,-1.0459716,0.60734683,0.9840754,-1.4792808,-0.17141007
151,punct,0.39770836,0.091139406,-0.008537904,-1.1419255,0.08368704
152,punct,-1.1296029,1.3210838,1.2311082,-2.34766,0.41898358
153,punct,1.2202158,1.3605936,1.722865,-1.4415673,1.3977178
154,punct,-0.0137961125,0.0041296477,-0.006080188,-0.003806769,-0.013865992
155,punct,0.020720124,-0.027837457,-0.0063742027,-0.016001962,0.038384233
156,punct,-0.6018902,0.7910779,0.6409393,-1.3934954,0.21527438
157,punct,0.5445109,0.21000469,0.17306434,-1.0401367,-0.06786398
158,punct,0.14914988,-0.1527117,-0.3145408,-1.5143691,-0.04817447
159,punct,-0.013167105,-0.00010316457,-0.039490823,-0.008810194,0.0077608977
160,punct,-0.4196624,-0.18157884,0.5915971,-1.0318043,-0.3748577
161,punct,-1.0854797,0.83826613,0.7473667,-1.1820363,-0.03229313
162,punct,0.4232327,0.29158399,0.29822755,-1.1907,-0.03146277
163,punct,0.47484186,0.28485465,0.24073395,-1.1466606,-0.06273451
164,punct,0.5962254,0.41331363,0.37050635,-1.0257776,-0.3213658
165,punct,0.58391356,0.26820788,0.11028455,-1.0979824,-0.048390053
166,punct,0.402458,0.43086115,0.29106525,-0.7179343,-0.48574448
167,punct,-0.8277453,0.5445471,1.0053581,-1.3497835,-0.015988668
168,punct,0.23228563,0.109961666,-0.015350568,-1.506554,0.32589445
169,punct,0.3491826,-0.06435447,0.19679825,-1.175395,-0.23317665
170,punct,-0.019500567,0.013119499,0.0026797045,-0.002638744,-0.013643947
171,punct,0.45648646,-0.16249642,-0.33704016,-1.6326147,0.13560855
172,punct,-2.1570177,1.1349902,-0.44269234,-2.1569097,-0.50351715
173,punct,-0.02113208,-0.010373384,0.030774767,0.0111869015,-0.040176358
174,punct,0.020790985,0.015771559,-0.011162566,-0.023245027,0.026800927
175,punct,0.008015878,-0.03104929,-0.0031636874,0.02266489,0.028843671
176,punct,-0.018132828,0.021778477,0.008421878,-0.00014241248,-0.0031123043
177,punct,0.002435329,0.00037171252,0.04373454,-0.041149262,-0.009601734
178,punct,-0.039645664,0.008915192,0.009313163,-0.012977856,0.008957726
179,punct,0.009885975,-0.03206158,-0.01014156,-0.019699564,0.017440638
180,punct,-0.026091605,-0.045189828,-0.005673154,-0.00990581,-0.021757254
181,punct,0.0019349366,-0.025181333,-0.029935068,0.009544073,-0.034408256
182,punct,-0.02334095,0.0037077772,-0.02304299,-0.009707293,0.004221884
183,punct,0.017718729,0.008864235,-0.00884095,0.027151851,-0.019467678
184,punct,-0.0042720563,-0.02343379,0.009346584,0.005110716,-0.010455702
185,punct,-0.008036306,0.024476524,0.034495335,-0.024347415,-0.006042432
186,punct,0.019108199,-0.0145823,-0.00077484624,-0.03674265,-0.0071731047
187,punct,0.008657056,-0.025309857,-0.01031468,-0.031741817,-0.0063475673
188,punct,0.0015655926,-0.018009644,0.007898568,-0.00025763316,-0.016669916
189,punct,-0.01613133,-0.0057117557,-0.015451262,-0.009426489,0.018759828
190,punct,0.011792975,0.008502406,0.0011508976,0.037703376,0.007173009
191,punct,0.009509159,0.01321573,-0.007786719,0.008788468,-0.020509962
192,punct,-0.014537096,0.03652221,2.052874e-05,-0.0024553242,0.0060403673
193,punct,0.048619047,0.011110595,-0.04912588,-0.0138344485,0.026641548
194,punct,0.03573784,0.01910767,5.8228015e-06,-0.017671775,0.005249829
195,punct,-0.009528695,-0.017548084,0.008792338,-0.017395202,-0.005493593
196,punct,0.020370351,0.00557498,-0.005375877,0.0003402118,-0.0036293508
197,content,-0.027521763,-0.019752523,-0.007271208,-0.018872414,-0.012157636
198,content,0.62100357,-0.32280573,-0.2798253,0.21963367,-0.06159886
199,content,-0.0011560054,0.018266326,0.012771254,-0.032230876,0.018808462
200,content,0.042327546,0.02875847,0.025015824,0.03769285,-0.0081274295
201,content,-0.03285555,0.013917962,-0.025208065,-0.013668899,0.00476183
202,punct,0.009716981,0.014835619,-0.03249757,0.014920707,0.0058081183
203,punct,0.0064471434,0.017621666,0.009248182,0.013647297,-0.03126887
204,punct,-0.020653738,0.02544679,-0.0029375197,-0.043629814,-0.018978115
205,punct,0.0067496668,0.030781861,-0.0040516234,0.015362992,0.035561547
206,punct,-0.019531839,0.024025023,0.0144336745,-0.034817196,0.0014420913
207,punct,0.0485182,-0.024635084,0.008426815,0.01842039,-0.03610758
208,punct,-0.0056267157,-0.047085233,-0.007564167,-0.0030202132,0.028720202
209,punct,-0.018984128,-0.009298328,0.034812212,-0.021432003,-0.0075117853
210,punct,0.026434263,0.010084612,-0.02715104,0.020597875,-0.0212147
211,punct,-0.035560627,-0.021127455,-0.00024142937,0.0037020172,0.00578505
212,punct,0.015249762,0.017510515,0.01822778,-0.010506011,-0.03799329
213,punct,0.011797291,0.00033602715,0.024446184,-0.007144896,0.01251507
214,punct,-0.0039239274,-0.018886771,0.0030276908,0.0043347944,0.00840941
215,punct,0.0044760997,-0.014701913,0.037672553,0.032239284,0.0008593245
216,content,-0.019340562,0.030757407,-0.00790613,-0.029509641,-0.009139071
217,content,-0.022107078,-0.020003261,0.020945761,0.014186745,0.029141461
218,content,0.004913516,-0.013601479,0.02756824,-0.020545127,0.03380957
219,content,0.00010390377,0.015615541,-0.035662323,-0.022390421,-0.04677811
220,content,-0.9717159,-0.40311843,-0.4812826,-0.6248866,-0.3762967
221,punct,-0.023875358,0.0023420914,-0.010707082,-0.005200874,-0.0071068737
222,punct,0.18619756,-0.61275804,-0.2061815,-0.8008098,0.2791813
223,punct,0.44943196,-0.2978346,-0.022750905,-0.9635969,0.01525811
224,punct,0.44182953,0.07030103,-0.04350436,-1.1255019,0.037841447
225,punct,0.20665947,-0.5498518,0.17498422,-1.1425366,0.17194156
226,punct,0.27328038,-0.28982452,0.30290517,0.51798254,-0.9489687
227,punct,0.23890735,-0.5327347,0.21563083,-0.9864955,0.14170851
228,punct,-0.2108967,-0.2182903,0.45527697,-1.3852574,0.14270428
229,punct,-0.09113999,-0.90478456,0.32773516,-0.7300576,0.09773465
230,punct,0.5402103,-0.2689269,0.034713306,-0.83157206,-0.0014801001
231,punct,0.40735328,-0.3924654,-0.01316192,-0.8617567,0.090022966
232,punct,0.1400115,-0.26203886,0.43712023,-1.4533701,0.07671491
233,punct,0.43694177,-0.38260823,0.1640055,-1.2320486,0.037165254
234,punct,0.3850396,-0.49583206,0.14492463,-1.0070211,0.017140616
235,punct,0.1063713,-0.9507994,-0.08892298,-0.6653368,0.32186037
236,punct,0.3484309,-0.86863786,0.36696646,-0.7256291,0.1427669
237,punct,0.24342431,-0.40672192,-0.10229511,-1.1829991,0.3138683
238,punct,0.0049141105,-0.7357722,0.27529448,-0.69779336,0.054322224
239,punct,0.13734637,-0.9033377,0.22098699,-0.65091974,0.09949692
240,punct,0.016517831,-0.3375356,0.09101162,-1.375612,0.36591423
241,punct,0.017685708,-0.72452545,0.24614176,-0.9484727,0.24838759
242,punct,-0.06691994,-0.7501166,0.19603413,-0.99315685,0.38720694
243,punct,0.30459058,-0.2017326,0.0617581,-1.1627998,0.089489214
244,punct,0.5556443,-0.107424766,-0.0056309397,-1.0414732,-0.10793603
245,punct,0.37502995,-0.39945787,-0.014994533,-1.0385907,0.13047862
246,punct,0.31941503,-0.8337148,-0.17017475,-0.6474163,0.19909428
