step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_coupling,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,rg_dynamic_n_iterations,rg_dynamic_modularity_init,rg_dynamic_modularity_final,rg_dynamic_modularity_change,rg_dynamic_rank_init,rg_dynamic_rank_final,rg_dynamic_rank_change,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,alpha_mean,alpha_std,alpha_min,alpha_max,alpha_c0,alpha_b0,alpha_c0_std,alpha_b0_std,alpha_mahal_sq_mean,alpha_mahal_sq_std,step_time,tokens_per_sec
2900,1773680866.9964216,6.671748161315918,6.671748161315918,0,0,0,,,789.775052557585,9.625297986390535,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002746105134487152,0.3904507924954854,0.0,0.09094713063249271,,,,,,,,,,,0.03125953674316406,262064.0244066142
3000,1773680869.2220125,6.753000259399414,6.753000259399414,0,0,0,6.607791268825531,6.607791268825531,856.6250081323063,9.742519985357418,740.844970703125,9.533027694763986,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002728223919868469,0.39430383446395034,0.0,0.08992964465349519,,,,,,,,,,,0.03740692138671875,218996.90475219252
3100,1773680891.227847,6.7330641746521,6.7330641746521,0,0,0,,,839.7163654612067,9.713758294757726,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002709796696901321,0.38802779648914026,0.0,0.099194946103015,,,,,,,,,,,0.031259775161743164,262062.02564200346
3200,1773680893.4472897,6.568453788757324,6.568453788757324,0,0,0,,,712.2676749732158,9.476275707348515,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00026908317804336546,0.3600578468158429,0.0,0.07017270019845258,,,,,,,,,,,0.0468897819519043,174707.5729292724
3300,1773680895.6511045,6.671089172363281,6.671089172363281,0,0,0,,,789.2547709716185,9.624347266296565,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002671337395906448,0.37456611634794,0.0,0.0736990551554589,,,,,,,,,,,0.031260013580322266,262060.0269078817
3400,1773680897.854919,6.651516437530518,6.651516437530518,0,0,0,,,773.9570936794614,9.596109778816702,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002651322305202484,0.3875838414059199,0.0,0.08558408883435199,,,,,,,,,,,0.03126049041748047,262056.02953110222
3500,1773680900.0811737,6.76256799697876,6.76256799697876,0,0,0,,,864.8603051719078,9.756323312915667,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002630795449018478,0.37919478548031527,0.0,0.08706200524560395,,,,,,,,,,,0.046898841857910156,174673.8229660207
3600,1773680902.2909806,6.681820869445801,6.681820869445801,0,0,0,,,797.7704260818081,9.639829832457838,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00026097658574581145,0.39842072498563963,0.0,0.08404435260768678,,,,,,,,,,,0.0468904972076416,174704.90798431914
3700,1773680904.4967809,6.640721321105957,6.640721321105957,0,0,0,,,765.6470712754768,9.58053571788517,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002588243007659912,0.45285756267808236,0.0,0.09571085438174945,,,,,,,,,,,0.03125953674316406,262064.0244066142
3800,1773680906.7162247,6.586027145385742,6.586027145385742,0,0,0,,,724.8952382047419,9.501628701808107,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002566236287355423,0.3799260890063636,0.0,0.07353303621076128,,,,,,,,,,,0.046889543533325195,174708.461262324
3900,1773680908.920038,6.591090679168701,6.591090679168701,0,0,0,,,728.5750783675913,9.508933836886156,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002543755620718002,0.4176755463151288,0.0,0.09997775310933152,,,,,,,,,,,0.031260013580322266,262060.0269078817
4000,1773680911.1394827,6.686219692230225,6.686219692230225,0,0,0,6.451300103664398,6.451300103664398,801.2874064244039,9.646175992274676,633.5254516601562,9.307258666843083,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002520810931921005,0.4209567094171082,0.0,0.09284197300620985,,,,,,,,,,,0.046890974044799805,174703.13139951698
4100,1773680933.2657995,6.620316028594971,6.620316028594971,0,0,0,,,750.1821386612089,9.551097103571681,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002497412502765655,0.44687987835380505,0.0,0.08971186127892448,,,,,,,,,,,0.031259775161743164,262062.02564200346
4200,1773680935.4864473,6.6199798583984375,6.6199798583984375,0,0,0,,,749.929992168662,9.550612112496248,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002473570704460144,0.4200830694934978,0.0,0.09314709824929564,,,,,,,,,,,0.03125953674316406,262064.0244066142
