step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_coupling,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,rg_dynamic_n_iterations,rg_dynamic_modularity_init,rg_dynamic_modularity_final,rg_dynamic_modularity_change,rg_dynamic_rank_init,rg_dynamic_rank_final,rg_dynamic_rank_change,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,alpha_mean,alpha_std,alpha_min,alpha_max,alpha_c0,alpha_b0,alpha_c0_std,alpha_b0_std,alpha_mahal_sq_mean,alpha_mahal_sq_std,step_time,tokens_per_sec
5400,1773679118.3422287,5.283565998077393,5.283565998077393,0,0,0,,,197.0713799884726,7.622574463635801,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00021569248884916305,0.8082522382308521,0.0,0.0,,,,,,,,,,,0.019829988479614258,413111.68730236974
5500,1773679119.8600872,5.351747989654541,5.351747989654541,0,0,0,,,210.97676093350142,7.720940284762086,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00021283486336469648,0.8582303387474162,0.0,0.0,,,,,,,,,,,0.01671886444091797,489985.4310649706
5600,1773679121.3768346,5.380051612854004,5.380051612854004,0,0,0,,,217.03347685303092,7.761773781591141,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002099492937326431,0.8311946266137722,0.0,0.0,,,,,,,,,,,0.015633106231689453,524016.1410401098
5700,1773679122.9126344,5.381235122680664,5.381235122680664,0,0,0,,,217.29049016449076,7.763481225348907,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00020703706741333005,0.7980432180006369,0.0,0.0,,,,,,,,,,,0.033382415771484375,245398.65706776368
5800,1773679124.429313,5.2541351318359375,5.2541351318359375,0,0,0,,,191.35591662662517,7.5801146988601875,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00020409950762987134,0.8292990680993608,0.0,0.0,,,,,,,,,,,0.0323333740234375,253360.50589900897
5900,1773679125.9482484,5.412013053894043,5.412013053894043,0,0,0,,,224.08222354391793,7.80788439407927,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00020113787949085235,0.8182304990933454,0.0,0.0,,,,,,,,,,,0.03338766098022461,245360.10488581672
6000,1773679127.482729,5.3051300048828125,5.3051300048828125,0,0,0,5.134203295707703,5.134203295707703,201.36717942865334,7.653684749315676,169.72906494140625,7.407089633633276,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00019815351963043212,0.8682360775654877,0.0,0.0,,,,,,,,,,,0.033308982849121094,245939.66249606322
6100,1773679151.1653776,5.295563697814941,5.295563697814941,0,0,0,,,199.45002382700164,7.6398834855492375,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00019514775574207304,0.8622135413436417,0.0,0.0,,,,,,,,,,,0.031162261962890625,262882.07222426246
6200,1773679152.6520662,5.246479511260986,5.246479511260986,0,0,0,,,189.8965615959064,7.569069973021778,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00019212193340063094,0.9155798741983462,0.0,0.0,,,,,,,,,,,0.013667583465576172,599374.4264033772
6300,1773679154.14477,5.24627685546875,5.24627685546875,0,0,0,,,189.85808185697593,7.568777602515311,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0001890773758292198,0.8155007777862258,0.0,0.0,,,,,,,,,,,0.015629053115844727,524152.0352691715
6400,1773679155.6519399,5.264316558837891,5.264316558837891,0,0,0,,,193.31414478564216,7.594803393105078,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00018601543977856633,0.8132640693229382,0.0,0.0,,,,,,,,,,,0.015630722045898438,524096.0702867602
6500,1773679157.1367784,5.181594371795654,5.181594371795654,0,0,0,,,177.9663294126113,7.475460504087755,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00018293749764561652,0.8707329439176014,0.0,0.0,,,,,,,,,,,0.015629053115844727,524152.0352691715
6600,1773679158.6216173,5.29792594909668,5.29792594909668,0,0,0,,,199.92173182849197,7.643291493758735,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00017984493076801298,0.8321407961526305,0.0,0.0,,,,,,,,,,,0.03125953674316406,262064.0244066142
6700,1773679160.0976274,5.354194641113281,5.354194641113281,0,0,0,,,211.49357951305467,7.724470056688395,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00017673907801508902,0.8628444571029845,0.0,0.0,,,,,,,,,,,0.01562976837158203,524128.0488132284
6800,1773679161.5883095,5.382963180541992,5.382963180541992,0,0,0,,,217.66630532586228,7.7659742858558145,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00017362133860588072,0.8446021725399424,0.0,0.0,,,,,,,,,,,0.03126096725463867,262052.03227627024
6900,1773679163.0575178,5.250347137451172,5.250347137451172,0,0,0,,,190.63243263070868,7.57464977814637,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00017049311622977255,0.8788254673300903,0.0,0.0,,,,,,,,,,,0.01562976837158203,524128.0488132284
7000,1773679164.5423577,5.251589298248291,5.251589298248291,0,0,0,5.058687796592713,5.058687796592713,190.8693758955331,7.576441837368361,157.38385009765625,7.298143797549824,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00016735576651990414,0.8173134109043032,0.0,0.0,,,,,,,,,,,0.015630483627319336,524104.0645525405
7100,1773679186.4657803,5.273630142211914,5.273630142211914,0,0,0,,,195.12300258902744,7.608240053651688,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00016421070098876953,0.8601710585995712,0.0,0.0,,,,,,,,,,,0.031260013580322266,262060.0269078817
7200,1773679187.9349892,5.1757049560546875,5.1757049560546875,0,0,0,,,176.921292061131,7.466963873204528,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00016105931885540485,0.895804631246156,0.0,0.0,,,,,,,,,,,0.01562976837158203,524128.0488132284
7300,1773679189.4195893,5.239351272583008,5.239351272583008,0,0,0,,,188.54774662953307,7.558786098430785,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00015790303777903317,0.9433250835493074,0.0,0.0,,,,,,,,,,,0.03125929832458496,262066.0232017146
7400,1773679190.9015465,5.144887924194336,5.144887924194336,0,0,0,,,171.55225673620197,7.422504294164682,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0001547432256862521,0.8774661967440999,0.0,0.0,,,,,,,,,,,0.03125953674316406,262064.0244066142
7500,1773679192.3707566,5.095983505249023,5.095983505249023,0,0,0,,,163.36443542023704,7.351950131474723,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00015158130512572823,0.8265791889924952,0.0,0.0,,,,,,,,,,,0.01562976837158203,524128.0488132284
7600,1773679193.855595,5.2056427001953125,5.2056427001953125,0,0,0,,,182.29799808549174,7.510154908211611,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00014841869962401686,0.8558472644406325,0.0,0.0,,,,,,,,,,,0.015630006790161133,524120.0538157634
7700,1773679195.340434,5.183838367462158,5.183838367462158,0,0,0,,,178.3661334961439,7.4786979055075955,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00014525677934288978,0.8317036494755274,0.0,0.0,,,,,,,,,,,0.03125929832458496,262066.0232017146
7800,1773679196.8252733,5.235862731933594,5.235862731933594,0,0,0,,,187.89113612318937,7.553753198135936,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0001420969672501087,0.9309679905542896,0.0,0.0,,,,,,,,,,,0.031259775161743164,262062.02564200346
7900,1773679198.294268,5.213376045227051,5.213376045227051,0,0,0,,,183.71323661406004,7.521311766738383,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00013894066885113715,0.8649824628192991,0.0,0.0,,,,,,,,,,,0.015636920928955078,523888.3049431281
